Sample,UTM,Easting,Northing,ALTITUDE,MINTEMP,PRECIPITATION,DISTWATER,ASPECT,SLOPE,DISTFARM,DISTPOUL,DENSITY,VEGTYPE,DIST_URB
1610,28N,372886.609,3659651.97,137,12.5,443,938.8740654,S,4.123327732,20.76507435,20.76507435,6.013373743,grass,729.3280122
1611,28N,373032.921,3660567.16,170.4,12.60000038,428,1144.702095,N,3.575624764,438.8925512,438.8925512,7.995346069,grass,851.1983191
1612,28N,372794.5,3660540.31,184.4,12.60000038,428,1347.06492,NE,5.029550016,279.4493006,279.4493006,7.995346069,grass,1053.327852
1613,28N,372842.493,3660497.55,185.75,12.60000038,428,1282.895154,NE,4.571821531,341.5096622,341.5096622,7.995346069,grass,1044.515627
1614,28N,372465.656,3660667.68,183.75,12.64991652,428,1687.09837,S,5.891380978,110.5258766,110.5258766,7.590310671,grass,1267.648638
1615,28N,372635.328,3660648.84,181.8,12.60000038,428,1532.411934,N,4.60757935,130.2166306,130.2166306,7.995346069,grass,1124.932167
1616,28N,374551.227,3660951.25,104,12.80000019,422,430.5181204,W,5.883069634,645.8278026,648.3668818,2.057825016,urban,3.096042873
1617,28N,374090.559,3660846.27,92,12.35526614,455.7997882,128.0533997,SE,1.603777766,764.4832821,764.4832821,5.063880857,arable,37.26017304
1618,28N,374077.491,3660701.17,92.33333333,12.3835225,453.6523047,93.90550595,E,1.966192722,680.9429126,680.9429126,5.063880857,arable,24.19144503
1619,28N,374077.491,3660701.17,92.33333333,12.3835225,453.6523047,93.90550595,E,1.966192722,680.9429126,680.9429126,5.063880857,arable,24.19144503
1620,28N,374070.18,3660568.19,90.25,12.3986929,452.4993543,191.4500127,SE,2.011381298,566.1003835,620.5004806,5.063880857,arable,14.62984455
1621,28N,374072.418,3660451.72,88.75,12.40459699,452.173978,297.4733889,SE,2.119446665,457.7843633,579.2176779,5.063880857,arable,13.90407665
1622,28N,374110.986,3659165.99,71.6,13,418,214.1474205,E,2.403597564,172.2243405,172.2243405,5.380352976,arable,19.74566356
1623,28N,374109.163,3659024.07,71.5,13,418,315.8560803,E,2.566952467,69.25211567,69.25211567,5.043491124,arable,14.31399614
1624,28N,374169.782,3658727.21,70.8,13,418,607.4334083,SE,1.824845576,157.4646481,157.4646481,3.481391645,urban,0
1625,28N,374157.95,3658460.11,62,13.08354491,413.8227706,856.7573885,SE,2.126815766,109.9683645,109.9683645,3.481391645,arable,0
1626,28N,373016.329,3658565.76,81.6,12.85561775,426.2191194,976.6478934,SE,4.292274094,54.84433752,54.84433752,5.380366599,grass,17.32010314
1627,28N,373016.329,3658565.76,81.6,12.85561775,426.2191194,976.6478934,SE,4.292274094,54.84433752,54.84433752,5.380366599,grass,17.32010314
1628,28N,372889.419,3657924.23,43,13,419,451.6727685,E,2.217970997,155.4906017,155.4906017,5.629659543,urban,0
1629,28N,372646.74,3657934.03,47,13,419,507.4311676,E,3.162559211,301.8110792,301.8110792,5.61166819,urban,0
