Sample,UTM,Easting,Northing,ALTITUDE,MINTEMP,PRECIPITATION,DISTWATER,ASPECT,SLOPE,DISTFARM,DISTPOUL,DENSITY,VEGTYPE,DIST_URB,autocov1000m
1214,28N,353181,3110340,99,13.92,268,159.479821,SE,3.234,587.799285,2797.796275,0.56,Urban,68.446941,0
1215,28N,330416,3111372,210,12.75,327,285.157962,SE,18.068,205.800874,417.124681,0.509,Shrub,96.550745,0
1245,28N,350738,3111715,290,12.3,314.404,75.972471,SE,10.43,526.15682,1531.144016,0.662,Urban,45.527605,0
1247,28N,352714,3109985,117,13.7,278,342.704962,SE,3.639,1173.470919,3212.820878,0.458,Shrub,157.519451,0.6287518
1248,28N,353461,3109330,62,14.34,262,14.38873,SE,2.952,717.713731,3803.314869,0.458,Shrub,11.892649,0
1250,28N,362423,3137976,524,11.2,384,253.125122,SE,8.866,348.076141,1483.728411,0.101,Shrub,106.785381,0
1251,28N,365651,3139114,96,14.3,266,405.644259,SE,6.19,95.210293,1376.985475,0.407,Urban,31.423904,1
1252,28N,367535,3141382,236,13.86,265.5636,438.998509,SE,12.584,337.379608,4322.906545,0.407,Shrub,87.215916,1
1255,28N,363711,3127150,10,14.4,259,451.170795,SE,7.941,1300.437618,1300.437618,0.407,Rock,30.60033,0
1256,28N,362907,3125735,12,14.4,259.654,384.247565,SE,5.233,1824.681068,1824.681068,0.305,Shrub,9.368049,0
1267,28N,339686,3103451,130,13.41,287.9214,435.795412,SE,3.202,227.299362,3893.274328,0.56,Shrub,126.38118,0
1271,28N,340996,3105123,207,13.1,295,72.756449,SE,6.488,1801.300918,3577.843065,0.56,Shrub,191.747549,1
1273,28N,345725,3111559,571,10.8,376,75.642069,SE,5.899,320.001562,320.001562,0.407,Grass,48.014037,0.39999147
1275,28N,347712,3108350,259,12.8,313,191.923917,SE,5.354,253.268632,875.19255,0.611,Shrub,124.04681,0
1278,28N,351281,3113047,322,12.7,326.1224,35.534767,SE,7.612,416.677333,558.645683,0.509,Shrub,97.273823,0
1280,28N,356689,3113943,94,13.7,267,201.362005,SE,3.458,468.273424,3346.974902,0.509,Shrub,79.886131,0.3434471
1281,28N,355894,3114519,201,13,285.271,195.355307,SE,9.277,663.844108,2483.616717,0.509,Shrub,143.061936,1
1282,28N,354889,3115103,322,12.6,315,189.286553,SE,2.863,1086.029465,1744.775343,0.56,Shrub,187.63992,0
1284,28N,354420,3116154,346,12.1,352,107.731187,SE,11.034,751.487192,912.318475,0.56,Shrub,250.297123,0
1285,28N,355576,3115803,260,12.6,311,499.140801,SE,10.656,1180.238958,1180.238958,0.56,Shrub,99.509055,0
1286,28N,356492,3115973,204,13.1,292,108.298456,SE,4.341,1563.039666,1711.60042,0.509,Shrub,59.793489,0
1290,28N,354472,3120786,653,10.9,417,132.30754,SE,10.68,948.822955,1354.203086,0.356,Shrub,144.795601,0
1292,28N,359979,3121166,78,14.1,260,130.549496,SE,5.598,392.108403,3544.022855,0.916,Shrub,25.606272,0.23097991
1293,28N,360185,3121996,119,14.24,260,94.483138,SE,6.345,439.591856,2707.053379,0.865,Shrub,80.020641,0.65837037
1294,28N,359501,3122397,213,13.36,294,10.165108,SE,6.955,615.552597,2410.19439,0.967,Shrub,19.855835,0
1295,28N,359521,3122408,213,13.36,294,10.165108,SE,6.955,615.552597,2410.19439,0.967,Shrub,19.855835,0
1298,28N,357874,3125551,650,9.2,443.9346,32.701538,SE,6.271,574.913036,574.913036,0.356,Urban,8.872765,0
1300,28N,360468,3124451,266,12.94,287.9033,171.712334,SE,9.56,366.415065,366.415065,0.865,Shrub,288.239866,0
1302,28N,361084,3127048,404,11.9,345,28.352207,SE,10.607,1290.153866,1800.002499,0.56,Urban,47.767959,0.72770814
1303,28N,361625,3126315,237,12.95,262,129.290102,SE,9.259,1182.04653,1197.67483,0.611,Shrub,430.117989,1
1304,28N,361645,3126325,237,12.95,262,129.290102,SE,9.259,1182.04653,1197.67483,0.611,Shrub,430.117989,1
1307,28N,362777,3129241,351,11.6,337,69.304835,SE,9.304,1075.941448,1075.941448,0.356,Urban,61.842654,0
1320,28N,328538,3110476,78,13.9,293,142.145862,SE,2.677,1808.772235,1808.772235,0.763,Urban,97.323442,1
1321,28N,328528,3110490,78,13.9,293,142.145862,SE,2.677,1808.772235,1808.772235,0.763,Urban,97.323442,1
1337,28N,340231,3114829,1283,6.3,489,162.318314,SE,7.416,1256.719936,1256.719936,0.101,Urban,108.328447,1
1338,28N,339438,3115044,1325,6.3,490,67.845441,SE,5.807,457.817649,457.817649,0.101,Urban,24.516224,0
1344,28N,340314,3122649,2115,1,486,875.908109,SE,4.835,7778.547165,7778.547165,0.305,Shrub,361.480539,0
1349,28N,342851,3126949,2332,1.2,487,2225.80226,SE,13.942,8294.640016,11030.81729,0.254,Shrub,432.379084,0
1375,28N,344778,3128007,2287,1.2,487,3128.848955,SE,3.458,6621.427791,9666.682419,0.152,Shrub,1491.679864,0
1376,28N,345957,3129619,2153,1.8,491,4237.737445,SE,4.711,5121.271033,8032.816318,0.152,Shrub,1207.685316,0
1403,28N,371048,3145737,377,11.6,362,90.933784,SE,2.32,752.271892,1707.112767,0.662,Urban,18.057125,1
1425,28N,340423,3126184,2291,1.4,490,3033.842316,SE,4.966,10671.3225,11291.07267,0.254,Shrub,281.804375,0
1428,28N,340178,3104689,175,13.16,299,397.921597,SE,3.891,1539.162434,3331.846485,0.56,Urban,88.161498,0
1437,28N,343171,3109735,536,11.07,399,93.31206,SE,7.658,760,857.35057,0.407,Urban,191.769581,1
